Interpret;Jahr;Titel;Pack;Youtube-Link;Abspiel-Beginn (in Sekunden)
Jürgen von der Lippe;1987;Guten Morgen, liebe Sorgen;Schlagerparty;https://www.youtube.com/watch?v=tCxjFSO5AOE;10
Karel Gott;1975;Biene Maja;Schlagerparty;https://www.youtube.com/watch?v=XNWferBsNCw;0
Karell Gott & Klaus;1986;Fang Das Licht;Schlagerparty;https://www.youtube.com/watch?v=AAWHUHzQ4BM;10
Karl Dall;1987;Milionen Frauen lieben mich;Schlagerparty;https://www.youtube.com/watch?v=ThdYxMGZl04;0
Kasalla;2015;Stadt met K;Schlagerparty;https://www.youtube.com/watch?v=WEmdUN0cAhw;15
Kastelruther Spatzen;2000;Ein Leben lang;Schlagerparty;https://www.youtube.com/watch?v=WhVc_ov2Cks;7
Katja Ebstein;1980;Theater;Schlagerparty;https://www.youtube.com/watch?v=Agrad3dY5Qc;10
Kerstin Ott;2018;Regenbogenfarben;Schlagerparty;https://www.youtube.com/watch?v=WSTu9AMLvTw;20
Klaus & Klaus;1988;Der Eiermann;Schlagerparty;https://www.youtube.com/watch?v=u58UVnV7RF4;0
Klaus & Klaus;1985;An der Nordseeküste;Schlagerparty;https://www.youtube.com/watch?v=U15ZCSkkU9A;20
Klostertaler;1997;Ha-Le-Lu-Ja;Schlagerparty;https://www.youtube.com/watch?v=q2cPcD6cp_A;0
Klostertaler;1998;Ciao d'amore;Schlagerparty;https://www.youtube.com/watch?v=v6ZbuEyHWrw;15
KLUBBB3;2016;Du schaffst das schon;Schlagerparty;https://www.youtube.com/watch?v=wCDsm_dt1cI;0
Kristina Bach;1997;…es kribbelt und prickelt...;Schlagerparty;https://www.youtube.com/watch?v=5JDMgosFXY4;0
Liane ;2014;Ich lass' nur noch Sonne in mein Herz;Schlagerparty;https://www.youtube.com/watch?v=9QZ0VlgJ4uw;0
Lill Babs;1961;Wo finde ich den Mann?;Schlagerparty;https://www.youtube.com/watch?v=UdqDzPXqD9U;0
Linda Hesse;2014;Knutschen - Ich kann nichts dafür;Schlagerparty;https://www.youtube.com/watch?v=ME_5F7H7EOA;20
Lorenz Büffel;2016;Johnny Däpp;Schlagerparty;https://www.youtube.com/watch?v=3osLPAfdqQg;0
Maite Kelly;2001;So wie man tanzt so liebt man;Schlagerparty;https://www.youtube.com/watch?v=dLle5uwURtU;0
Maite Kelly;2016;Sieben Leben für dich;Schlagerparty;https://www.youtube.com/watch?v=VOa30FJGd4w;25
Maite Kelly, Roland Kaiser;2014;Warum hast du nicht nein gesagt;Schlagerparty;https://www.youtube.com/watch?v=0MVy0VQfxUU;0
Manuel & Pony;1979;Das Lied von Manuel;Schlagerparty;https://www.youtube.com/watch?v=_Fsdo2DaS_0;0
Manuela Fellner;2012;7 Tage hat die Woche;Schlagerparty;https://www.youtube.com/watch?v=tYJhwawckmM;0
Marianne Rosenberg;1975;Er gehört zu mir;Schlagerparty;https://www.youtube.com/watch?v=COkhUbRoaLA;15
Marie Reim;2022;Bist du dafür bereit?;Schlagerparty;https://www.youtube.com/watch?v=0QkRsiwmSB4;12
Marina Marx;2020;Der geilste Fehler;Schlagerparty;https://www.youtube.com/watch?v=bgEEOI2kP2c;18
Mario Jordan;1992;Welch ein Tag;Schlagerparty;https://www.youtube.com/watch?v=KtPmOFzd2xU;15
Markus Becker;2019;Bierkapitän;Schlagerparty;https://www.youtube.com/watch?v=wNkqohlUQWA;5
Markus Becker;2007;Das rote Pferd;Schlagerparty;https://www.youtube.com/watch?v=VDCrh5GRTNY;17
Matthias Reim;2007;Ich will dich immer noch;Schlagerparty;https://www.youtube.com/watch?v=WnHLrcX4pfY;0
Max Giesinger ;2021;Irgendwann ist jetzt;Schlagerparty;https://www.youtube.com/watch?v=pqMz4ZHV3BY;12
Max Raabe;1999;Kein Schwein ruft mich an;Schlagerparty;https://www.youtube.com/watch?v=ZkHa6Vyy0Wg;0
Max Raabe;2011;Küssen kann man nicht alleine;Schlagerparty;https://www.youtube.com/watch?v=XjU8u_TjXfw;0
Melissa Naschenweng;2019;I steh auf Bergbauernbuam;Schlagerparty;https://www.youtube.com/watch?v=D6EzUpOj4KU;0
Melissa Naschenweng;2020;Lederhosenrock;Schlagerparty;https://www.youtube.com/watch?v=ZIlTo0JMUb0;0
Mia Julia, Lorenz Büffel, Malle Anja;2022;Der Zug hat keine Bremse;Schlagerparty;https://www.youtube.com/watch?v=Sg4nv5uC-0w;0
Michael Holm;1969;Mendocino;Schlagerparty;https://www.youtube.com/watch?v=Ngx9Z_RdwOk;0
Michael Morgan;1996;Es schießt ein Blitz in meinen Kopf;Schlagerparty;https://www.youtube.com/watch?v=QeO0vFWnjBI;0
Michael Wendler;2002;Verlier sie nie;Schlagerparty;https://www.youtube.com/watch?v=-iEGAbJdkw0;0
Michael Wendler;2006;Prinzessin;Schlagerparty;https://www.youtube.com/watch?v=ULN0pgnPHqc;28
Michelle;1992;Und heut' Nacht will ich tanzen;Schlagerparty;https://www.youtube.com/watch?v=MtkrHb30Teg;15
Michelle;2007;Willst du mich für immer?;Schlagerparty;https://www.youtube.com/watch?v=P_oW3lrn7-M;15
Mickie Krause;2010;Schatzi schenk mir ein Foto;Schlagerparty;https://www.youtube.com/watch?v=MRmgD2LaDw0;0
Mickie Krause;1999;Zehn nackte Friseusen;Schlagerparty;https://www.youtube.com/watch?v=ZIdhH3TxnD4;30
Mike Krüger;1994;Das Trampolin;Schlagerparty;https://www.youtube.com/watch?v=0CLGRuqSYMw;0
Mike Krüger;1980;Der Nippel;Schlagerparty;https://www.youtube.com/watch?v=1KRa4pD6ZUI;7
Mike Leon Grosch;2021;Nicht mal eine Stunde;Schlagerparty;https://www.youtube.com/watch?v=pk0edki-syI;0
Mireille Mathieu;1969;Hinter den Kulissen von Paris;Schlagerparty;https://www.youtube.com/watch?v=3mY-2acmKr0;0
Mitch Keller;2015;7 Leben;Schlagerparty;https://www.youtube.com/watch?v=Gojprk_UOmg;0
Monika Martin;1996;La Luna Blue;Schlagerparty;https://www.youtube.com/watch?v=2zicwoLpCyU;0
Monique;2020;Sieben Tage, sieben Nächte;Schlagerparty;https://www.youtube.com/watch?v=594ydVlytN0;16
Münchener Freiheit;1985;Ohne Dich (schlaf' ich heut Nacht nicht ein);Schlagerparty;https://www.youtube.com/watch?v=SoZ8naG0sj0;21
Münchner Freiheit;2009;Ein Augenblick in rot;Schlagerparty;https://www.youtube.com/watch?v=P9eGiSONjf4;0
Münchner Zwietracht;2000;Moos Hamma;Schlagerparty;https://www.youtube.com/watch?v=IsIAPSXWaNw;0
Musikapostel (feat. Allessa);2019;Ich bin wer ich sein will;Schlagerparty;https://www.youtube.com/watch?v=PvI0nM9fOMA;0
Nena;1982;Nur geträumt;Schlagerparty;https://www.youtube.com/watch?v=HEGRwUuWn64;0
Nicki;1992;Das geht vorbei;Schlagerparty;https://www.youtube.com/watch?v=Zk5VHyimdfs;10
Nicki;1986;Wenn I Mit Dir Tanz;Schlagerparty;https://www.youtube.com/watch?v=hPjm0fk8-E8;20
Nicole;1992;Mit dir vielleicht;Schlagerparty;https://www.youtube.com/watch?v=3EpZlbsAKJQ;0
Nicole;1982;Ein bisschen Frieden;Schlagerparty;https://www.youtube.com/watch?v=W9S3YMmIFdw;5
Nik P.;2008;Gloria 2;Schlagerparty;https://www.youtube.com/watch?v=1NqYMKHKawM;0
Nik P.;1998;Ein Stern, der deinen Namen trägt;Schlagerparty;https://www.youtube.com/watch?v=q0jkVfhky24;12
Nino de Angelo;2001;Engel;Schlagerparty;https://www.youtube.com/watch?v=iWhzhu7TiKk;0
Nino de Angelo;1983;Jenseits von Eden;Schlagerparty;https://www.youtube.com/watch?v=7wFRYTXBAVI;27
Nino Gemba;2006;Dein Zug ist abgefahre'n;Schlagerparty;https://www.youtube.com/watch?v=1j1ZnYaKjnQ;0
Nockis (Nockalm Quintett);2014;Du warst der geilste Fehler meines Lebens;Schlagerparty;https://www.youtube.com/watch?v=0JR4cHZOFZs;0
Norman Langen;2011;Hör meinen Herzschlag;Schlagerparty;https://www.youtube.com/watch?v=cAzgX9XSXbA;0
Olaf Henning;2000;Das Spiel ist aus;Schlagerparty;https://www.youtube.com/watch?v=dHM_31pwXFg;0
Olaf Henning;2011;Ich mal für dich den Himmel blau;Schlagerparty;https://www.youtube.com/watch?v=TzMxvqMbjho;16
Ole ohne Kohle;2012;Ich bin kein Model und kein Superstar;Schlagerparty;https://www.youtube.com/watch?v=7xNSfvxJxHA;16
Oliver Haidt;1996;Lebenslänglich Du;Schlagerparty;https://www.youtube.com/watch?v=Tk6Boeo-Moo;12
Oliver Pocher;2006;Schwarz und weiss;Schlagerparty;https://www.youtube.com/watch?v=B9od0nCPwpo;36
Otto Waalkes;2008;Grund zum Feiern;Schlagerparty;https://www.youtube.com/watch?v=aGnmuBOmL5I;0
Patrick Lindner;2003;Halleluja - auf das Leben;Schlagerparty;https://www.youtube.com/watch?v=U4XOGnBqvCQ;32
Paul Kuhn;1963;Es gibt kein Bier auf Hawaii;Schlagerparty;https://www.youtube.com/watch?v=mB1rM73lmnc;0
Pe Werner;1991;Kribbeln im Bauch;Schlagerparty;https://www.youtube.com/watch?v=0201_NPzWbE;0
Peter Alexander;1976;Die Kleine Kneipe;Schlagerparty;https://www.youtube.com/watch?v=A10I_3e8B_I;13
Peter Cornelius;1980;Du Entschuldige - I Kenn' Di;Schlagerparty;https://www.youtube.com/watch?v=fhaP9-YhLig;0
Peter Maffay;1976;Und es war Sommer;Schlagerparty;https://www.youtube.com/watch?v=-DLE_1SQsj0;10
Peter Maffay;1979;So bist du;Schlagerparty;https://www.youtube.com/watch?v=Hq9JebayPmo;14
Peter Reber;1985;E Vogel ohni Flügel;Schlagerparty;https://www.youtube.com/watch?v=13YrHoMNe1I;13
Peter Wackel;2013;Scheiß drauf! (Mallorca ist nur einmal im Jahr);Schlagerparty;https://www.youtube.com/watch?v=MeZfP-JSJTw;0
Peter Wackel;2005;Oberammergau;Schlagerparty;https://www.youtube.com/watch?v=bGgRFctcb8A;10
Plüsch;2007;Heimweh;Schlagerparty;https://www.youtube.com/watch?v=ZhZhRRg93aA;0
Prince Damien;2016;Glücksmoment;Schlagerparty;https://www.youtube.com/watch?v=3RFnDpE3jGs;7
PS Alex;2007;Eine Frau, die mich nach Hause trägt;Schlagerparty;https://www.youtube.com/watch?v=hrNXPy7PyJM;0
Pur;1993;Hör gut zu;Schlagerparty;https://www.youtube.com/watch?v=F3MY3RZ0F6k;10
Rainhard Fendrich;1988;Macho Macho;Schlagerparty;https://www.youtube.com/watch?v=3ROwnYnWNwg;0
Rainhard Fendrich;1985;Haben Sie Wien schon bei Nacht geseh'n;Schlagerparty;https://www.youtube.com/watch?v=Ngd0BbvRHJA;13
Ramon Roselly;2020;Eine Nacht;Schlagerparty;https://www.youtube.com/watch?v=9HdOqsDD5pQ;18
Rebel Tell;2022;Schlager ist nicht kriminell;Schlagerparty;https://www.youtube.com/watch?v=vrpufaP9u-I;13
Relax;1990;I lass di nimmer aus;Schlagerparty;https://www.youtube.com/watch?v=kgOR4WYxOu4;19
Rex Guildo;1972;Fiesta Mexicana;Schlagerparty;https://www.youtube.com/watch?v=EEGQrYBkm_A;0
Roberto Blanco;1972;Ein bisschen Spaß muss sein;Schlagerparty;https://www.youtube.com/watch?v=4-DYhrD-N6M;0
Roland Kaiser;1977;Sieben Fässer Wein;Schlagerparty;https://www.youtube.com/watch?v=G0_pmvMJdZc;0
Roland Kaiser;1984;Joana;Schlagerparty;https://www.youtube.com/watch?v=nEO8d59-riM;0
Rosenstolz;1998;Herzensschöner;Schlagerparty;https://www.youtube.com/watch?v=uiNs4rcFkak;0
Ross Antony;2013; Kettenkarussell;Schlagerparty;https://www.youtube.com/watch?v=NRbsDcxi5kE;0
Ross Antony;2021;Willkommen im Club;Schlagerparty;https://www.youtube.com/watch?v=OjQiGPlbPgc;6
Roy Black & Anita;1971;Schön ist es auf der Welt zu sein;Schlagerparty;https://www.youtube.com/watch?v=5O2mq590K5g;9
Rudi Carrell;1978;Goethe war gut;Schlagerparty;https://www.youtube.com/watch?v=__pll7gNU0Q;12
Rudolf Rock und die Schocker;1990;Herzilein;Schlagerparty;https://www.youtube.com/watch?v=l1eqypd6TEk;14
Sabrina Setlur;1997;Du liebst mich nicht;Schlagerparty;https://www.youtube.com/watch?v=C6_FGIRbMm8;20
Sandy Wagner;2002;Hier spricht die Polizei;Schlagerparty;https://www.youtube.com/watch?v=oYwYtPvKQvA;0
Santiano;2012;Es gibt nur Wasser;Schlagerparty;https://www.youtube.com/watch?v=-RWKohWx8JQ;0
Sarah-Jane;2005;Einmal hin, einmal her;Schlagerparty;https://www.youtube.com/watch?v=FmOlsP4KnUQ;0
Schnappi, Joy;2004;Schnappi, das kleine Krokodil;Schlagerparty;https://www.youtube.com/watch?v=hVRw7jtSiEA;0
Sigrid & Marina;2010;Zwei Senoritas;Schlagerparty;https://www.youtube.com/watch?v=fSsFkNRI-cQ;0
Simone;2005;Viel zu oft;Schlagerparty;https://www.youtube.com/watch?v=nYgjahLa-D8;16
Simone;2001;Solang wir lieben;Schlagerparty;https://www.youtube.com/watch?v=b4mV07X9cWg;17
Spider Murphy Gang;1987;So a Nacht;Schlagerparty;https://www.youtube.com/watch?v=sox_-1x-VGw;11
Spliff;1982;Carbonara;Schlagerparty;https://www.youtube.com/watch?v=y52bQT5J8HA;17
Sportfreunde Stiller;2006;54, '74, '90, 2006;Schlagerparty;https://www.youtube.com/watch?v=gOUpBDSeWlA;13
Stefan Raab;1999;Maschen-Draht-Zaun;Schlagerparty;https://www.youtube.com/watch?v=yNwgTW_AJ_s;0
Stefan Waggershausen & Alice;1984;Zu nah am Feuer;Schlagerparty;https://www.youtube.com/watch?v=AJfj7ZiHlmc;19
Stefan Waggershausen, Viktor Lazlo;1990;Das erste Mal tat's noch weh;Schlagerparty;https://www.youtube.com/watch?v=lEPLsMtlY4A;18
Stefanie Hertel;2004;Erst du, dann du;Schlagerparty;https://www.youtube.com/watch?v=SF079N6dt8s;16
Stephan Remmler;1986;Alles hat ein Ende nur die Wurst hat zwei;Schlagerparty;https://www.youtube.com/watch?v=eWbcv47DXww;0
Stereoact feat. Kerstin Ott;2015;Die immer lacht;Schlagerparty;https://www.youtube.com/watch?v=wdC7k35C4ns;27
Stoakogler Trio;1992;Steiermen san very good;Schlagerparty;https://www.youtube.com/watch?v=p-gK9kzEVhY;0
Tahiti Tamoures;1963;Wini-Wini;Schlagerparty;https://www.youtube.com/watch?v=J2l0X0wscmA;0
Thomas Anders;2017;Sternenregen;Schlagerparty;https://www.youtube.com/watch?v=IglQLKlMHB8;0
Thomas Anders, Florian Silbereisen;2022;Alles wird gut;Schlagerparty;https://www.youtube.com/watch?v=ogXjEQkHzUw;16
Tic Tac Toe;1997;Ich wär so gern so blöd wie du;Schlagerparty;https://www.youtube.com/watch?v=QukYHQRH3NM;0
Tobee;2019;Helikopter 117 (Mach' den Hub Hub Hub);Schlagerparty;https://www.youtube.com/watch?v=ANqoWfqoGJY;6
Tom Astor;1996;Irgendwie wird's schon gehen;Schlagerparty;https://www.youtube.com/watch?v=EvusweZ4Sjs;0
Tom Astor;1991;Ich bin kein Dichter, kein Poet;Schlagerparty;https://www.youtube.com/watch?v=FcKFv-s4p6s;20
Tony Holiday;1977;Tanze Samba mit mir;Schlagerparty;https://www.youtube.com/watch?v=ZYHO7BGiH54;15
Tony Marshall;1978;Auf der Straße nach Süden;Schlagerparty;https://www.youtube.com/watch?v=lbuzlplYGj8;3
Tony Marshall;1971;Schöne Maid;Schlagerparty;https://www.youtube.com/watch?v=EviBJR02-zk;14
Trenkwalder;2001;Verliab di;Schlagerparty;https://www.youtube.com/watch?v=2zxqZARI0e0;10
Trio;1981;Da Da Da;Schlagerparty;https://www.youtube.com/watch?v=4_kZdimDGfM;0
Trio;1983;Herz ist Trumpf;Schlagerparty;https://www.youtube.com/watch?v=NUU3ci9KUdg;25
Truckstop;1980;Der wilde wilde Westen;Schlagerparty;https://www.youtube.com/watch?v=80DSyg01uUc;0
Truckstop;1995;Emmylou, Emmylou;Schlagerparty;https://www.youtube.com/watch?v=FTEaBHl7Org;5
Trude Herr;1961;Weil ich so sexy bin;Schlagerparty;https://www.youtube.com/watch?v=GRtqHMiNKS0;0
Udo Jürgens;1974;Griechischer Wein;Schlagerparty;https://www.youtube.com/watch?v=eKveb4BjK_c;0
Udo Jürgens;1982;Ich war noch niemals in New York;Schlagerparty;https://www.youtube.com/watch?v=YPx2AxpBPs8;15
Udo Lindenberg;1983;Sonderzug nach Pankow;Schlagerparty;https://www.youtube.com/watch?v=1oKKwuIZzr8;45
Unheilig;2014;Zeit zu gehen;Schlagerparty;https://www.youtube.com/watch?v=4DTCHO9tQdI;10
Ute Freudenberg;2012;Wilkommen im Leben;Schlagerparty;https://www.youtube.com/watch?v=kRKpf38DoJ8;0
Vader Abraham;1977;Das Lied der Schlümpfe;Schlagerparty;https://www.youtube.com/watch?v=sXdUMoEHxKs;0
Vanessa Mai;2016;Ich sterb für Dich;Schlagerparty;https://www.youtube.com/watch?v=izHB2EdMngg;0
Vanessa Mai;2015;Mein Herz schlägt Schlager;Schlagerparty;https://www.youtube.com/watch?v=8bd_6CyjyXI;0
Vicky Leandros;1974;Theo, wir fahr'n nach Lodz;Schlagerparty;https://www.youtube.com/watch?v=NVHvUT9lMjs;0
Vicky Leandros;1975;Ich liebe das Leben;Schlagerparty;https://www.youtube.com/watch?v=mTyZMjezn6c;7
Vikinger;2003;Das kann nur Liebe sein;Schlagerparty;https://www.youtube.com/watch?v=48LtCAqqr8I;7
Vincent Gross;2017;Du Du Du;Schlagerparty;https://www.youtube.com/watch?v=pt9oeXkCy1g;9
Voxxclub;2013;Rock mi;Schlagerparty;https://www.youtube.com/watch?v=OqFswmifyqw;4
Voxxclub;2022;Was geht hier ab;Schlagerparty;https://www.youtube.com/watch?v=tinrJJZmER8;6
Wencke Myhre;1970;Er hat ein knallrotes Gummiboot;Schlagerparty;https://www.youtube.com/watch?v=2lyCBJAOqcQ;0
Wildecker Herzbuben;1990;Herzilein;Schlagerparty;https://www.youtube.com/watch?v=l1eqypd6TEk;0
Wind;2009;Radio Zuckerhut;Schlagerparty;https://www.youtube.com/watch?v=cMBcBSzH3gs;0
Wind;1987;Lass Die Sonne In Dein Herz;Schlagerparty;https://www.youtube.com/watch?v=lLKsnjZoKj4;8
Wolfgang Fierek;1985;Resi i hol di mit mei'm  Traktor;Schlagerparty;https://www.youtube.com/watch?v=Iftl_V1NKpI;15
Wolfgang Petry;1992;Verlieben, verloren, vergessen, verzei'n;Schlagerparty;https://www.youtube.com/watch?v=VH9mObSufSg;0
Wolfgang Petry;1998;Weiss' der Geier;Schlagerparty;https://www.youtube.com/watch?v=0yIIRkKtLSE;14
Wolfgang Ziegler;2003;Ich küss dir die Angst von deiner Haut;Schlagerparty;https://www.youtube.com/watch?v=5R7fKOteVZw;20
Wolfram;1970;Trödler Abraham;Schlagerparty;https://www.youtube.com/watch?v=1IF3zk1g4c8;0
Wolkenfrei;2014;Ich versprech Dir nichts und geb' Dir alles;Schlagerparty;https://www.youtube.com/watch?v=ib7WGGdeTYw;14
Wolkenfrei;2015;Wolke 7;Schlagerparty;https://www.youtube.com/watch?v=GOCPXxB5YdQ;15
Wums Gesang;1972;Ich wünsch mir 'ne kleine Mietzekatze;Schlagerparty;https://www.youtube.com/watch?v=8CiSEtZCvyY;0
Xanadu;1989;Einen Traum für diese Welt;Schlagerparty;https://www.youtube.com/watch?v=nk0HTecN568;0
Zlatko;2000;Ich vermiss' dich;Schlagerparty;https://www.youtube.com/watch?v=_BLfvl2jGDc;0
